iso,year,ehb_crude_dev_non_ppp,eq_ehb_crude_dev_non_ppp,debt_ehb_crude_dev_non_ppp,fdi_ehb_crude_dev_non_ppp,eq_debt_ehb_crude_dev_non_ppp
CHE,2002,1.3504923164825233,1.6007817878600519,1.5965632657523565,1.293139260738057,1.4668345079149194
CHE,2003,1.262037124250905,1.5607920952138026,1.4931596145396857,1.1999631729105291,1.3867374432378459
TUR,1993,-4.006893450858785,-2.5455809482580927,NA,-4.406794256464861,-3.547924931967132
TUR,1994,-3.7074520139153564,-2.301069186070732,NA,-3.903224552863079,-3.341376069327443
TUR,1995,-3.667912911010067,-2.4522809618177024,NA,-3.811903950867843,-3.415656462654381
TUR,1996,-3.7750160355951743,-2.671991370527629,NA,-3.8460860610643324,-3.6236484883833935
TUR,1997,-3.6997716313934035,-2.8554910121782804,NA,-3.551976234952183,-3.739295147812676
TUR,1998,-3.6331292406508284,-3.016262726975291,NA,-3.2791972124297075,-3.875827296361959
TUR,1999,-3.457072468520823,-3.0256711098472477,NA,-3.0083541060023244,-3.778037092688772
TUR,2000,-3.446958196222374,-3.36253089176084,NA,-2.8583917953979814,-4.10641755598594
TUR,2001,-3.0461037384272727,-3.242722972440225,-4.200376450151312,-2.4577040285620217,-3.7406405426211418
TUR,2002,-3.0918579100558974,-3.4775346306240884,-4.129712827132305,-2.4550382104451485,-3.936672450110372
TUR,2003,-3.312331834074451,-3.6394696394743695,-3.638897617388939,-2.809403301155531,-3.775096988397067
GBR,1993,1.4347330920172927,2.0310161409982754,Inf,0.9843234996710042,1.9129183815367417
GBR,1994,1.2323478038572013,1.8719770713172408,Inf,0.8958730875428915,1.6647629097196153
GBR,1995,1.2642742238135434,1.7891590747156036,Inf,0.849246330183443,1.659261637857837
GBR,1996,1.2171692375016057,1.6731816884345405,Inf,0.7814464066660571,1.5546959983577535
GBR,1997,1.0428930541968524,1.4134707432581122,Inf,0.5754248814164529,1.3649921601255133
GBR,1998,0.894196180791227,1.1330389297067003,Inf,0.6375940192919558,1.1141097916359761
GBR,1999,0.9402882510568111,1.0509496519288786,Inf,1.0479304057063041,0.9528749710605251
GBR,2000,0.8978028615495262,0.8518523733867976,Inf,1.0733947682249119,0.8425471173590078
GBR,2001,0.8396419514935598,0.7937386816205187,1.0965192466817073,0.9475110065082726,0.8324083396437705
GBR,2002,0.7837543739499289,0.8201019249365971,0.8746054987121734,0.9625796384220682,0.7207564791831562
GBR,2003,0.6761373114499993,0.7660363114936795,0.757195723574131,0.8574707060225908,0.6250377913164431
USA,1993,0.4550717832664495,0.8875960214622585,Inf,0.7531912249609538,0.40691669157079824
USA,1994,0.3065691675373443,0.8664450664598293,Inf,0.5907928489812739,0.2841223496838359
USA,1995,0.4471371394569592,0.906616463939804,Inf,0.6197526711813488,0.42404626013149405
USA,1996,0.4258368567353221,0.8468609165438723,Inf,0.6268932906927758,0.3422043879221648
USA,1997,0.3154621295208423,0.660148879368563,Inf,0.5394775320830827,0.19787963870725034
USA,1998,0.200706658604198,0.5035146742571452,Inf,0.5032409653485961,0.020506796519322634
USA,1999,0.14885541455586315,0.3972930814421287,Inf,0.5204149119174111,-0.07522694868070934
USA,2000,-0.10132561395418616,0.13591366845104935,Inf,0.20270973148569937,-0.28618832236618585
USA,2001,-0.3570918341661545,-0.05093742558836456,-0.8981799711633895,-0.087715769838008,-0.51657457836642
USA,2002,-0.5268568501300647,-0.12340646198008076,-0.8793215103044829,-0.31174514570032064,-0.6249694808741155
USA,2003,-0.4104079210634428,0.06398072601760485,-0.8642331786003006,-0.19150217710436523,-0.49616181072090937
